"generic_names","rxnorm1","rxnorm_str1","rxnorm2","rxnorm_str2"
"amikacin",641,"amikacin",641,"amikacin"
"vancomycin capsules",NA,NA,NA,NA
"linezolid",190376,"linezolid",190376,"linezolid"
"cefepime",20481,"cefepime",20481,"cefepime"
"ceftazidime injection",NA,NA,NA,NA
"aztreonam",1272,"aztreonam",1272,"aztreonam"
"gentamicin",1596450,"gentamicin",1596450,"gentamicin"
"daptomycin",22299,"daptomycin",22299,"daptomycin"
"erythromycin ophthalmic",NA,NA,NA,NA
"tobramycin and dexamethasone ophthalmic",NA,NA,NA,NA
"moxifloxacin ophthalmic",NA,NA,NA,NA
"tobramycin ophthalmic",NA,NA,NA,NA
"azithromycin ophthalmic",NA,NA,NA,NA
"ciprofloxacin ophthalmic",NA,NA,NA,NA
"gentamicin ophthalmic",NA,NA,NA,NA
"polymyxin b and trimethoprim ophthalmic",NA,NA,NA,NA
"ofloxacin ophthalmic",NA,NA,NA,NA
"dexamethasone and tobramycin",NA,NA,883815,"dexamethasone / tobramycin"
"bacitracin ophthalmic",NA,NA,NA,NA
"dexamethasone, neomycin, and polymyxin b",NA,NA,NA,NA
"besifloxacin ophthalmic",NA,NA,NA,NA
"loteprednol and tobramycin ophthalmic",NA,NA,NA,NA
"clarithromycin",21212,"clarithromycin",21212,"clarithromycin"
"erythromycin",4053,"erythromycin",4053,"erythromycin"
"erythromycin tablets",NA,NA,NA,NA
"cefadroxil",2177,"cefadroxil",2177,"cefadroxil"
"cefazolin",2180,"cefazolin",2180,"cefazolin"
"ampicillin",733,"ampicillin",733,"ampicillin"
"cefadroxil capsules and tablets",NA,NA,NA,NA
"penicillin v potassium oral solution",NA,NA,NA,NA
"cefuroxime",2194,"cefuroxime",2194,"cefuroxime"
"metronidazole vaginal",NA,NA,NA,NA
"acetic acid",168,"acetic acid",168,"acetic acid"
"clindamycin vaginal cream",NA,NA,NA,NA
"clindamycin gel and lotion",NA,NA,NA,NA
"clotrimazole topical",NA,NA,NA,NA
"miconazole vaginal",NA,NA,NA,NA
"sincalide",9800,"sincalide",9800,"sincalide"
"magnesium sulfate",6585,"magnesium sulfate",6585,"magnesium sulfate"
"omeprazole",7646,"omeprazole",7646,"omeprazole"
"pantoprazole",40790,"pantoprazole",40790,"pantoprazole"
"esomeprazole magnesium",NA,NA,NA,NA
"dexlansoprazole",816346,"dexlansoprazole",816346,"dexlansoprazole"
"esomeprazole sodium",NA,NA,NA,NA
"rabeprazole",114979,"rabeprazole",114979,"rabeprazole"
"pantoprazole injection",NA,NA,NA,NA
"rifampin",9384,"rifampin",9384,"rifampin"
"rifampin capsules",NA,NA,NA,NA
"rifampin injection",NA,NA,NA,NA
"erythromycin suspension",NA,NA,NA,NA
"erythromycin injection",NA,NA,NA,NA
"imiquimod topical",NA,NA,NA,NA
"vismodegib",1242987,"vismodegib",1242987,"vismodegib"
"sonidegib",1659191,"sonidegib",1659191,"sonidegib"
"apremilast",1492727,"apremilast",1492727,"apremilast"
"penicillin g benzathine",NA,NA,NA,NA
"primidone",8691,"primidone",8691,"primidone"
"nadolol",7226,"nadolol",7226,"nadolol"
"zonisamide",39998,"zonisamide",39998,"zonisamide"
"tamsulosin",77492,"tamsulosin",77492,"tamsulosin"
"tadalafil",358263,"tadalafil",358263,"tadalafil"
"dutasteride",228790,"dutasteride",228790,"dutasteride"
"doxazosin",49276,"doxazosin",49276,"doxazosin"
"terazosin",37798,"terazosin",37798,"terazosin"
"silodosin",720825,"silodosin",720825,"silodosin"
"alfuzosin",17300,"alfuzosin",17300,"alfuzosin"
"dutasteride and tamsulosin",NA,NA,1001472,"dutasteride / tamsulosin"
"flumazenil",4457,"flumazenil",4457,"flumazenil"
"thiamine",10454,"thiamine",10454,"thiamine"
"luspatercept",2262544,"luspatercept",2262544,"luspatercept"
"cholic acid",1440856,"cholic acid",1440856,"cholic acid"
"ursodiol",NA,NA,NA,NA
"obeticholic acid",1798288,"obeticholic acid",1798288,"obeticholic acid"
"quetiapine",51272,"quetiapine",51272,"quetiapine"
"lithium",6448,"lithium",6448,"lithium"
"lurasidone",1040028,"lurasidone",1040028,"lurasidone"
"divalproex sodium",NA,NA,NA,NA
"oxcarbazepine",32624,"oxcarbazepine",32624,"oxcarbazepine"
"asenapine",784649,"asenapine",784649,"asenapine"
"topiramate",38404,"topiramate",38404,"topiramate"
"atezolizumab",1792776,"atezolizumab",1792776,"atezolizumab"
"thiotepa",10473,"thiotepa",10473,"thiotepa"
"erdafitinib",2123125,"erdafitinib",2123125,"erdafitinib"
"darifenacin",136198,"darifenacin",136198,"darifenacin"
"solifenacin",322167,"solifenacin",322167,"solifenacin"
"onabotulinumtoxina",NA,NA,NA,NA
"fluconazole",4450,"fluconazole",4450,"fluconazole"
"ketoconazole",6135,"ketoconazole",6135,"ketoconazole"
"tranexamic acid",10691,"tranexamic acid",10691,"tranexamic acid"
"goserelin",50610,"goserelin",50610,"goserelin"
"dextran",42635,"dextran",42635,"dextran"
"prednisolone and sulfacetamide",NA,NA,690161,"prednisolone / sulfacetamide"
"gentamicin and prednisolone",NA,NA,689325,"gentamicin / prednisolone"
"bacitracin and polymyxin b ophthalmic",NA,NA,NA,NA
"bacitracin, neomycin, and polymyxin b ophthalmic",NA,NA,NA,NA
"hydrocortisone, neomycin, and polymyxin b",NA,NA,NA,NA
"incobotulinumtoxina",NA,NA,NA,NA
"hetastarch",5531,"hetastarch",5531,"hetastarch"
"ioversol",NA,NA,NA,NA
"busulfan injection",NA,NA,NA,NA
"busulfan",1828,"busulfan",1828,"busulfan"
"busulfan tablet",NA,NA,NA,NA
"clozapine",2626,"clozapine",2626,"clozapine"
"carbamazepine",2002,"carbamazepine",2002,"carbamazepine"
"l-methylfolate",NA,NA,1592257,"levomefolate"
"botulism antitoxin",NA,NA,NA,NA
"botulism immune globulin",NA,NA,NA,NA
"polyethylene glycol 3350",221147,"polyethylene glycol 3350",221147,"polyethylene glycol 3350"
"bisacodyl",1596,"bisacodyl",1596,"bisacodyl"
"magnesium sulfate, potassium sulfate, and sodium sulfate",NA,NA,NA,NA
"polyethylene glycol electrolyte solution",NA,NA,NA,NA
"magnesium, potassium, and sodium sulfates",NA,NA,NA,NA
"citric acid, magnesium oxide, and sodium picosulfate",NA,NA,NA,NA
"polyethylene glycol-electrolyte solution prep",NA,NA,NA,NA
"neomycin",7299,"neomycin",7299,"neomycin"
"sodium biphosphate and sodium phosphate",NA,NA,NA,NA
"bisacodyl tablets",NA,NA,NA,NA
"bisacodyl enema",NA,NA,NA,NA
"everolimus",141704,"everolimus",141704,"everolimus"
"carmustine",2105,"carmustine",2105,"carmustine"
"fentanyl citrate",NA,NA,NA,NA
"fentanyl",4337,"fentanyl",4337,"fentanyl"
"tamoxifen",10324,"tamoxifen",10324,"tamoxifen"
"letrozole",72965,"letrozole",72965,"letrozole"
"trastuzumab",224905,"trastuzumab",224905,"trastuzumab"
"epirubicin",3995,"epirubicin",3995,"epirubicin"
"paclitaxel",56946,"paclitaxel",56946,"paclitaxel"
"leuprolide",42375,"leuprolide",42375,"leuprolide"
"neratinib",1940643,"neratinib",1940643,"neratinib"
"palbociclib",1601374,"palbociclib",1601374,"palbociclib"
"alpelisib",2169285,"alpelisib",2169285,"alpelisib"
"anastrozole",84857,"anastrozole",84857,"anastrozole"
"fulvestrant",282357,"fulvestrant",282357,"fulvestrant"
"lapatinib",480167,"lapatinib",480167,"lapatinib"
"docetaxel",72962,"docetaxel",72962,"docetaxel"
"paclitaxel protein-bound",NA,NA,NA,NA
"gemcitabine",12574,"gemcitabine",12574,"gemcitabine"
"eribulin",1045453,"eribulin",1045453,"eribulin"
"pertuzumab",1298944,"pertuzumab",1298944,"pertuzumab"
"ixabepilone",337523,"ixabepilone",337523,"ixabepilone"
"testosterone injection",NA,NA,NA,NA
"methyltestosterone",6904,"methyltestosterone",6904,"methyltestosterone"
"fluoxymesterone",4494,"fluoxymesterone",4494,"fluoxymesterone"
"testosterone",10379,"testosterone",10379,"testosterone"
"esterified estrogens",NA,NA,214549,"estrogens, esterified (usp)"
"ethinyl estradiol",4124,"ethinyl estradiol",4124,"ethinyl estradiol"
"exemestane",258494,"exemestane",258494,"exemestane"
"guaifenesin",5032,"guaifenesin",5032,"guaifenesin"
"albuterol extended-release tablets",NA,NA,NA,NA
"cefdinir",25037,"cefdinir",25037,"cefdinir"
"cimetidine",2541,"cimetidine",2541,"cimetidine"
"fluticasone",41126,"fluticasone",41126,"fluticasone"
"formoterol",25255,"formoterol",25255,"formoterol"
"albuterol digital inhalation powder",NA,NA,NA,NA
"streptomycin",10109,"streptomycin",10109,"streptomycin"
"chloramphenicol",2348,"chloramphenicol",2348,"chloramphenicol"
"dapsone",3108,"dapsone",3108,"dapsone"
"rituximab",121191,"rituximab",121191,"rituximab"
"nortriptyline",7531,"nortriptyline",7531,"nortriptyline"
"capsaicin topical",NA,NA,NA,NA
"capsaicin cream, gel, liquid, and lotion",NA,NA,NA,NA
"silver sulfadiazine topical",NA,NA,NA,NA
"lidocaine aerosol",NA,NA,NA,NA
"albumin",NA,NA,NA,NA
"naproxen sodium",NA,NA,NA,NA
"trolamine cream and lotion",NA,NA,NA,NA
"naproxen modified-release tablets",NA,NA,NA,NA
"allopurinol",519,"allopurinol",519,"allopurinol"
"allopurinol injection",NA,NA,NA,NA
"flucytosine",4451,"flucytosine",4451,"flucytosine"
"anidulafungin",341018,"anidulafungin",341018,"anidulafungin"
"micafungin",325887,"micafungin",325887,"micafungin"
"uridine triacetate",1665222,"uridine triacetate",1665222,"uridine triacetate"
"telotristat ethyl",1872441,"telotristat ethyl",1872441,"telotristat ethyl"
"dexrazoxane",42736,"dexrazoxane",42736,"dexrazoxane"
"simvastatin",36567,"simvastatin",36567,"simvastatin"
"telmisartan",73494,"telmisartan",73494,"telmisartan"
"ramipril",35296,"ramipril",35296,"ramipril"
"empagliflozin",1545653,"empagliflozin",1545653,"empagliflozin"
"liraglutide",475968,"liraglutide",475968,"liraglutide"
"alirocumab",1659152,"alirocumab",1659152,"alirocumab"
"evolocumab",1665684,"evolocumab",1665684,"evolocumab"
"canagliflozin",1373458,"canagliflozin",1373458,"canagliflozin"
"canagliflozin and metformin",NA,NA,1545149,"canagliflozin / metformin"
"icosapent",NA,NA,NA,NA
"levocarnitine",42955,"levocarnitine",42955,"levocarnitine"
"levocarnitine oral solution",NA,NA,NA,NA
"sodium oxybate",9899,"sodium oxybate",9899,"sodium oxybate"
"iopromide",NA,NA,NA,NA
"mannitol",6628,"mannitol",6628,"mannitol"
"trihexyphenidyl",10811,"trihexyphenidyl",10811,"trihexyphenidyl"
"ticlopidine",10594,"ticlopidine",10594,"ticlopidine"
"isoxsuprine",6066,"isoxsuprine",6066,"isoxsuprine"
"carbamide peroxide",47686,"carbamide peroxide",47686,"carbamide peroxide"
"carbamide peroxide otic solution",NA,NA,NA,NA
"bevacizumab",253337,"bevacizumab",253337,"bevacizumab"
"carboplatin",40048,"carboplatin",40048,"carboplatin"
"topotecan",57308,"topotecan",57308,"topotecan"
"ifosfamide",5657,"ifosfamide",5657,"ifosfamide"
"hydroxyurea",5552,"hydroxyurea",5552,"hydroxyurea"
"pembrolizumab",1547545,"pembrolizumab",1547545,"pembrolizumab"
"abobotulinumtoxina",NA,NA,NA,NA
"rimabotulinumtoxinb",NA,NA,NA,NA
"bupivacaine",1815,"bupivacaine",1815,"bupivacaine"
"ropivacaine",35780,"ropivacaine",35780,"ropivacaine"
"cefotetan",2187,"cefotetan",2187,"cefotetan"
"piperacillin",8339,"piperacillin",8339,"piperacillin"
"amifostine",4126,"amifostine",4126,"amifostine"
"acetaminophen",161,"acetaminophen",161,"acetaminophen"
"pemigatinib",NA,NA,NA,NA
"cholera vaccine",NA,NA,1812935,"vibrio cholerae cvd 103-hgr strain live antigen"
"vinblastine",11198,"vinblastine",11198,"vinblastine"
"modafinil",30125,"modafinil",30125,"modafinil"
"amantadine",620,"amantadine",620,"amantadine"
"armodafinil",641465,"armodafinil",641465,"armodafinil"
"nintedanib",1592737,"nintedanib",1592737,"nintedanib"
"interferon gamma-1b",5882,"interferon gamma-1b",5882,"interferon gamma-1b"
"entecavir",306266,"entecavir",306266,"entecavir"
"tenofovir disoproxil fumarate",NA,NA,NA,NA
"tenofovir",117466,"tenofovir",117466,"tenofovir"
"lamivudine",68244,"lamivudine",68244,"lamivudine"
"adefovir",16521,"adefovir",16521,"adefovir"
"tenofovir alafenamide",1721603,"tenofovir alafenamide",1721603,"tenofovir alafenamide"
"peginterferon alfa-2a",120608,"peginterferon alfa-2a",120608,"peginterferon alfa-2a"
"peginterferon alfa-2b",253453,"peginterferon alfa-2b",253453,"peginterferon alfa-2b"
"ledipasvir and sofosbuvir",NA,NA,1591942,"ledipasvir / sofosbuvir"
"ribavirin",9344,"ribavirin",9344,"ribavirin"
"sofosbuvir",1484911,"sofosbuvir",1484911,"sofosbuvir"
"sofosbuvir and velpatasvir",NA,NA,1799211,"sofosbuvir / velpatasvir"
"glecaprevir and pibrentasvir",NA,NA,1940702,"glecaprevir / pibrentasvir"
"dasabuvir, ombitasvir, paritaprevir, and ritonavir",NA,NA,NA,NA
"elbasvir and grazoprevir",NA,NA,1734635,"elbasvir / grazoprevir"
"sofosbuvir, velpatasvir, and voxilaprevir",NA,NA,NA,NA
"plecanatide",1873752,"plecanatide",1873752,"plecanatide"
"prucalopride",2107310,"prucalopride",2107310,"prucalopride"
"interferon beta-1b",72257,"interferon beta-1b",72257,"interferon beta-1b"
"ibrutinib",1442981,"ibrutinib",1442981,"ibrutinib"
"chlorambucil",2346,"chlorambucil",2346,"chlorambucil"
"ofatumumab",712566,"ofatumumab",712566,"ofatumumab"
"fludarabine",24698,"fludarabine",24698,"fludarabine"
"bendamustine",134547,"bendamustine",134547,"bendamustine"
"obinutuzumab",974779,"obinutuzumab",974779,"obinutuzumab"
"alemtuzumab",117055,"alemtuzumab",117055,"alemtuzumab"
"idelalisib",1544460,"idelalisib",1544460,"idelalisib"
"hyaluronidase and rituximab",NA,NA,1927884,"hyaluronidase / rituximab"
"levothyroxine",10582,"levothyroxine",10582,"levothyroxine"
"thyroid desiccated",NA,NA,10572,"thyroid (usp)"
"levothyroxine capsules",NA,NA,NA,NA
"thyroid",NA,NA,10572,"thyroid (usp)"
"levothyroxine oral solution",NA,NA,NA,NA
"nilotinib",662281,"nilotinib",662281,"nilotinib"
"bosutinib",1307619,"bosutinib",1307619,"bosutinib"
"anagrelide",596724,"anagrelide",596724,"anagrelide"
"omacetaxine",NA,NA,NA,NA
"cyclobenzaprine",21949,"cyclobenzaprine",21949,"cyclobenzaprine"
"ibuprofen injection",NA,NA,NA,NA
"tiotropium inhalation",NA,NA,NA,NA
"albuterol and ipratropium",NA,NA,214199,"albuterol / ipratropium"
"arformoterol inhalation",NA,NA,NA,NA
"aclidinium",1303098,"aclidinium",1303098,"aclidinium"
"roflumilast",1091836,"roflumilast",1091836,"roflumilast"
"umeclidinium and vilanterol",NA,NA,1487518,"umeclidinium / vilanterol"
"fluticasone, umeclidinium, and vilanterol",NA,NA,NA,NA
"umeclidinium",1487514,"umeclidinium",1487514,"umeclidinium"
"olodaterol and tiotropium",NA,NA,1658460,"olodaterol / tiotropium"
"olodaterol",1546059,"olodaterol",1546059,"olodaterol"
"formoterol and glycopyrrolate",NA,NA,1790638,"formoterol / glycopyrronium"
"dyphylline",3714,"dyphylline",3714,"dyphylline"
"oxycodone",7804,"oxycodone",7804,"oxycodone"
"fentanyl transdermal system",NA,NA,NA,NA
"acetaminophen and oxycodone",NA,NA,214183,"acetaminophen / oxycodone"
"morphine",7052,"morphine",7052,"morphine"
"buprenorphine transdermal",NA,NA,NA,NA
"methadone",6813,"methadone",6813,"methadone"
"buprenorphine",1819,"buprenorphine",1819,"buprenorphine"
"methadone oral concentrate",NA,NA,NA,NA
"pancrelipase",NA,NA,NA,NA
"pancreatin",7880,"pancreatin",7880,"pancreatin"
"pancreatin capsules and tablets",NA,NA,NA,NA
"dupilumab",1876376,"dupilumab",1876376,"dupilumab"
"baclofen intrathecal injection",NA,NA,NA,NA
"dantrolene",3105,"dantrolene",3105,"dantrolene"
"dantrolene capsules",NA,NA,NA,NA
"dantrolene injection",NA,NA,NA,NA
"baclofen oral solution",NA,NA,NA,NA
"mepolizumab",1720597,"mepolizumab",1720597,"mepolizumab"
"cerliponase alfa",NA,NA,NA,NA
"praziquantel",8628,"praziquantel",8628,"praziquantel"
"fidaxomicin",1111103,"fidaxomicin",1111103,"fidaxomicin"
"vancomycin oral solution",NA,NA,NA,NA
"penicillin v",7984,"penicillin v",7984,"penicillin v"
"fibrin sealant topical",NA,NA,NA,NA
"tizanidine",57258,"tizanidine",57258,"tizanidine"
"sumatriptan",37418,"sumatriptan",37418,"sumatriptan"
"dihydroergotamine",3418,"dihydroergotamine",3418,"dihydroergotamine"
"ergotamine and caffeine suppositories",NA,NA,NA,NA
"caffeine and ergotamine",NA,NA,214336,"caffeine / ergotamine"
"zolmitriptan",135775,"zolmitriptan",135775,"zolmitriptan"
"galcanezumab",2058846,"galcanezumab",2058846,"galcanezumab"
"valproic acid",NA,NA,NA,NA
"foscarnet",33562,"foscarnet",33562,"foscarnet"
"ganciclovir",4678,"ganciclovir",4678,"ganciclovir"
"valganciclovir",275891,"valganciclovir",275891,"valganciclovir"
"valacyclovir",73645,"valacyclovir",73645,"valacyclovir"
"cytomegalovirus immune globulin",22178,"cytomegalovirus immune globulin",22178,"cytomegalovirus immune globulin"
"letermovir",1988648,"letermovir",1988648,"letermovir"
"cidofovir",83171,"cidofovir",83171,"cidofovir"
"ganciclovir ophthalmic",NA,NA,NA,NA
"gadoterate meglumine",NA,NA,NA,NA
"gadobutrol",NA,NA,NA,NA
"gadopentetate dimeglumine",25486,"gadopentetate dimeglumine",25486,"gadopentetate dimeglumine"
"gadobenate dimeglumine",NA,NA,NA,NA
"gadoteridol",NA,NA,NA,NA
"gadodiamide",NA,NA,NA,NA
"cyclosporine",3008,"cyclosporine",3008,"cyclosporine"
"acetaminophen, dextromethorphan, doxylamine, and pseudoephedrine",NA,NA,NA,NA
"acetaminophen and chlorpheniramine",NA,NA,214179,"acetaminophen / chlorpheniramine"
"acetaminophen, dextromethorphan, and pseudoephedrine",NA,NA,NA,NA
"acetaminophen, dextromethorphan, guaifenesin, and phenylephrine",NA,NA,NA,NA
"acetaminophen, dextromethorphan, and doxylamine",NA,NA,NA,NA
"acetaminophen, chlorpheniramine, and dextromethorphan",NA,NA,NA,NA
"acetaminophen, chlorpheniramine, and phenylephrine",NA,NA,NA,NA
"acetaminophen, diphenhydramine, and phenylephrine",NA,NA,NA,NA
"chlorpheniramine and hydrocodone&gt;",NA,NA,NA,NA
"acetaminophen, diphenhydramine, and phenylephrine tablets",NA,NA,NA,NA
"pseudoephedrine and triprolidine",NA,NA,214807,"pseudoephedrine / triprolidine"
"acetaminophen/chlorpheniramine/dextromethorphan/pseudoephedrine caps &amp; tabs",NA,NA,NA,NA
"dicyclomine",3361,"dicyclomine",3361,"dicyclomine"
"belladonna",NA,NA,89781,"belladonna extract, usp"
"oxaliplatin",32592,"oxaliplatin",32592,"oxaliplatin"
"leucovorin",6313,"leucovorin",6313,"leucovorin"
"irinotecan",51499,"irinotecan",51499,"irinotecan"
"regorafenib",1312397,"regorafenib",1312397,"regorafenib"
"cetuximab",318341,"cetuximab",318341,"cetuximab"
"panitumumab",263034,"panitumumab",263034,"panitumumab"
"tipiracil and trifluridine",NA,NA,1670310,"tipiracil / trifluridine"
"ziv-aflibercept",NA,NA,NA,NA
"levoleucovorin",877015,"levoleucovorin",877015,"levoleucovorin"
"leucovorin calcium",NA,NA,NA,NA
"ramucirumab",1535922,"ramucirumab",1535922,"ramucirumab"
"barium sulfate",NA,NA,NA,NA
"barium suspension",NA,NA,NA,NA
"ioflupane i-123",NA,NA,NA,NA
"podofilox topical",NA,NA,NA,NA
"sinecatechins",753346,"sinecatechins",753346,"sinecatechins"
"interferon alfa-n3",612937,"interferon alfa-n3",612937,"interferon alfa-n3"
"fibrinogen",4385,"fibrinogen",4385,"fibrinogen"
"fibrinogen concentrate",NA,NA,NA,NA
"valsartan",69749,"valsartan",69749,"valsartan"
"sacubitril and valsartan",NA,NA,1656339,"sacubitril / valsartan"
"hydralazine",5470,"hydralazine",5470,"hydralazine"
"loteprednol",NA,NA,NA,NA
"sulfacetamide ophthalmic",NA,NA,NA,NA
"gatifloxacin",228476,"gatifloxacin",228476,"gatifloxacin"
"diclofenac ophthalmic",NA,NA,NA,NA
"lodoxamide ophthalmic",NA,NA,NA,NA
"gatifloxacin ophthalmic",NA,NA,NA,NA
"lactulose",6218,"lactulose",6218,"lactulose"
"docusate and senna",NA,NA,NA,NA
"lactulose solution",NA,NA,NA,NA
"linaclotide",1307404,"linaclotide",1307404,"linaclotide"
"lubiprostone",623033,"lubiprostone",623033,"lubiprostone"
"methylnaltrexone",29899,"methylnaltrexone",29899,"methylnaltrexone"
"naloxegol",1551777,"naloxegol",1551777,"naloxegol"
"tegaserod",139778,"tegaserod",139778,"tegaserod"
"docusate",82003,"docusate",82003,"docusate"
"docusate sodium 100mg capsules",NA,NA,NA,NA
"psyllium",8928,"psyllium",8928,"psyllium"
"magnesium hydroxide",6581,"magnesium hydroxide",6581,"magnesium hydroxide"
"methylcellulose",6873,"methylcellulose",6873,"methylcellulose"
"magnesium oxide",6582,"magnesium oxide",6582,"magnesium oxide"
"docusate sodium",NA,NA,NA,NA
"magnesium citrate",52356,"magnesium citrate",52356,"magnesium citrate"
"polycarbophil",NA,NA,NA,NA
"docusate capsules and tablets",NA,NA,NA,NA
"docusate enema",NA,NA,NA,NA
"ethinyl estradiol and norethindrone, and ferrous fumarate",NA,NA,NA,NA
"ethinyl estradiol and etonogestrel",NA,NA,352376,"ethinyl estradiol / etonogestrel"
"etonogestrel",14584,"etonogestrel",14584,"etonogestrel"
"drospirenone and ethinyl estradiol",NA,NA,840781,"drospirenone / ethinyl estradiol"
"ethinyl estradiol, norethindrone, and ferrous fumarate",NA,NA,NA,NA
"levonorgestrel intrauterine system",NA,NA,NA,NA
"ethinyl estradiol, norethindrone and ferrous fumarate tablets",NA,NA,NA,NA
"ethinyl estradiol and desogestrel",NA,NA,NA,NA
"cysteamine ophthalmic",NA,NA,NA,NA
"ketorolac ophthalmic",NA,NA,NA,NA
"ketorolac",35827,"ketorolac",35827,"ketorolac"
"riboflavin ophthalmic",NA,NA,NA,NA
"""""riboflavin 5-phosphate""""",NA,NA,NA,NA
"levofloxacin ophthalmic",NA,NA,NA,NA
"perindopril",54552,"perindopril",54552,"perindopril"
"guaifenesin and pseudoephedrine",NA,NA,214599,"guaifenesin / pseudoephedrine"
"brompheniramine, dextromethorphan, and pseudoephedrine",NA,NA,NA,NA
"dextromethorphan, guaifenesin, and phenylephrine",NA,NA,NA,NA
"chlorpheniramine and dextromethorphan",NA,NA,214390,"chlorpheniramine / dextromethorphan"
"brompheniramine, dextromethorphan, guaifenesin, and phenylephrine",NA,NA,NA,NA
"brompheniramine, dextromethorphan, and phenylephrine",NA,NA,NA,NA
"guaifenesin and phenylephrine",NA,NA,214597,"guaifenesin / phenylephrine"
"chlorpheniramine, hydrocodone, and pseudoephedrine",NA,NA,NA,NA
"codeine, phenylephrine, and promethazine",NA,NA,NA,NA
"benzonatate",18993,"benzonatate",18993,"benzonatate"
"codeine and guaifenesin",NA,NA,214442,"codeine / guaifenesin"
"dextromethorphan and guaifenesin",NA,NA,214488,"dextromethorphan / guaifenesin"
"hydrocodone and homatropine syrup",NA,NA,NA,NA
"dextromethorphan",3289,"dextromethorphan",3289,"dextromethorphan"
"codeine and promethazine",NA,NA,214444,"codeine / promethazine"
"homatropine and hydrocodone",NA,NA,214614,"homatropine / hydrocodone"
"chlorpheniramine and hydrocodone",NA,NA,214392,"chlorpheniramine / hydrocodone"
"hydroxychloroquine",5521,"hydroxychloroquine",5521,"hydroxychloroquine"
"mesalamine",52582,"mesalamine",52582,"mesalamine"
"vedolizumab",1538097,"vedolizumab",1538097,"vedolizumab"
"natalizumab",354770,"natalizumab",354770,"natalizumab"
"adalimumab-atto",NA,NA,NA,NA
"ustekinumab",847083,"ustekinumab",847083,"ustekinumab"
"cholestyramine",NA,NA,2447,"cholestyramine resin"
"rifaximin",35619,"rifaximin",35619,"rifaximin"
"tacrolimus",42316,"tacrolimus",42316,"tacrolimus"
"adalimumab-adbm",NA,NA,NA,NA
"canakinumab",853491,"canakinumab",853491,"canakinumab"
"anakinra",72435,"anakinra",72435,"anakinra"
"rilonacept",763450,"rilonacept",763450,"rilonacept"
"corticorelin ovine triflutate",NA,NA,NA,NA
"osilodrostat",NA,NA,NA,NA
"nystatin topical",NA,NA,NA,NA
"nystatin and triamcinolone",NA,NA,107011,"nystatin / triamcinolone"
"terbinafine",37801,"terbinafine",37801,"terbinafine"
"clotrimazole",2623,"clotrimazole",2623,"clotrimazole"
"ciclopirox topical",NA,NA,NA,NA
"econazole topical",NA,NA,NA,NA
"miconazole",6932,"miconazole",6932,"miconazole"
"miconazole powder",NA,NA,NA,NA
"miconazole topical",NA,NA,NA,NA
"potassium iodide",8597,"potassium iodide",8597,"potassium iodide"
"potassium iodide drops",NA,NA,NA,NA
"bexarotene",233272,"bexarotene",233272,"bexarotene"
"romidepsin",877510,"romidepsin",877510,"romidepsin"
"vorinostat",194337,"vorinostat",194337,"vorinostat"
"methoxsalen",6854,"methoxsalen",6854,"methoxsalen"
"hydroxocobalamin",5514,"hydroxocobalamin",5514,"hydroxocobalamin"
"sodium nitrite and sodium thiosulfate",NA,NA,NA,NA
"amyl nitrite",742,"amyl nitrite",742,"amyl nitrite"
"sodium thiosulfate",36726,"sodium thiosulfate",36726,"sodium thiosulfate"
"sodium nitrite",9894,"sodium nitrite",9894,"sodium nitrite"
"loteprednol and tobramycin",NA,NA,NA,NA
"dornase alfa",337623,"dornase alfa",337623,"dornase alfa"
"ivacaftor",1243041,"ivacaftor",1243041,"ivacaftor"
"tobramycin",10627,"tobramycin",10627,"tobramycin"
"ivacaftor and lumacaftor",NA,NA,1655927,"ivacaftor / lumacaftor"
"ivacaftor and tezacaftor",NA,NA,1996267,"ivacaftor / tezacaftor"
"tiopronin",6765,"tiopronin",6765,"tiopronin"
"captopril",1998,"captopril",1998,"captopril"
"penicillamine",7975,"penicillamine",7975,"penicillamine"
"nitrofurantoin",7454,"nitrofurantoin",7454,"nitrofurantoin"
"methenamine",6832,"methenamine",6832,"methenamine"
"trimethoprim",10829,"trimethoprim",10829,"trimethoprim"
"nitrofurantoin oral suspension",NA,NA,NA,NA
"sulfamethoxazole/trimethoprim",NA,NA,10831,"sulfamethoxazole / trimethoprim"
"fosfomycin",4550,"fosfomycin",4550,"fosfomycin"
"pentosan polysulfate sodium",NA,NA,NA,NA
"cefpodoxime",20489,"cefpodoxime",20489,"cefpodoxime"
"cefprozil",19552,"cefprozil",19552,"cefprozil"
"tocilizumab",612865,"tocilizumab",612865,"tocilizumab"
"pyrithione zinc shampoo",NA,NA,NA,NA
"sulfur and salicylic acid lotion",NA,NA,NA,NA
"selenium sulfide topical",NA,NA,NA,NA
"pyrithione",35100,"pyrithione",35100,"pyrithione"
"salicylic acid topical",NA,NA,NA,NA
"sulfur and salicylic acid shampoo",NA,NA,NA,NA
"sulfur and salicylic acid soap",NA,NA,NA,NA
"salicylic acid and sulfur",NA,NA,496653,"salicylic acid / sulfur"
"selenium sulfide",36345,"selenium sulfide",36345,"selenium sulfide"
"dalteparin",67109,"dalteparin",67109,"dalteparin"
"fondaparinux",321208,"fondaparinux",321208,"fondaparinux"
"apixaban",1364430,"apixaban",1364430,"apixaban"
"dabigatran",NA,NA,NA,NA
"desirudin",114934,"desirudin",114934,"desirudin"
