Code Range,CCS,CCS Label,l,r
46900-46924,95,Other non-OR lower GI therapeutic procedures,46900,46924
46930-46936,81,Hemorrhoid procedures,46930,46936
46937-46942,95,Other non-OR lower GI therapeutic procedures,46937,46942
46945-46947,81,Hemorrhoid procedures,46945,46947
46999-46999,96,Other OR lower GI therapeutic procedures,46999,46999
47000-47001,83,Biopsy of liver,47000,47001
47010-47015,99,Other OR gastrointestinal therapeutic procedures,47010,47015
47100-47100,83,Biopsy of liver,47100,47100
47120-47134,99,Other OR gastrointestinal therapeutic procedures,47120,47134
47135-47147,176,Other organ transplantation,47135,47147
47300-47399,99,Other OR gastrointestinal therapeutic procedures,47300,47399
47400-47460,84,Cholecystectomy and common duct exploration,47400,47460
47480-47490,99,Other OR gastrointestinal therapeutic procedures,47480,47490
47500-47505,226,Other diagnostic radiology and related techniques,47500,47505
47510-47511,99,Other OR gastrointestinal therapeutic procedures,47510,47511
47525-47530,98,Other non-OR gastrointestinal therapeutic procedures,47525,47530
47531-47532,226,Other diagnostic radiology and related techniques,47531,47532
47533-47535,99,Other OR gastrointestinal therapeutic procedures,47533,47535
47536-47537,98,Other non-OR gastrointestinal therapeutic procedures,47536,47537
47538-47542,99,Other OR gastrointestinal therapeutic procedures,47538,47542
47543-47543,97,Other gastrointestinal diagnostic procedures,47543,47543
47544-47544,99,Other OR gastrointestinal therapeutic procedures,47544,47544
47550-47550,84,Cholecystectomy and common duct exploration,47550,47550
47552-47553,97,Other gastrointestinal diagnostic procedures,47552,47553
47554-47556,99,Other OR gastrointestinal therapeutic procedures,47554,47556
47560-47561,97,Other gastrointestinal diagnostic procedures,47560,47561
47562-47564,84,Cholecystectomy and common duct exploration,47562,47564
47570-47570,99,Other OR gastrointestinal therapeutic procedures,47570,47570
47579-47579,87,Laparoscopy,47579,47579
47600-47630,84,Cholecystectomy and common duct exploration,47600,47630
47700-47700,97,Other gastrointestinal diagnostic procedures,47700,47700
47701-47801,99,Other OR gastrointestinal therapeutic procedures,47701,47801
47802-47802,73,Ileostomy and other enterostomy,47802,47802
47900-48000,99,Other OR gastrointestinal therapeutic procedures,47900,48000
48001-48001,73,Ileostomy and other enterostomy,48001,48001
48005-48020,99,Other OR gastrointestinal therapeutic procedures,48005,48020
48100-48102,97,Other gastrointestinal diagnostic procedures,48100,48102
48105-48148,99,Other OR gastrointestinal therapeutic procedures,48105,48148
48150-48150,73,Ileostomy and other enterostomy,48150,48150
48151-48151,99,Other OR gastrointestinal therapeutic procedures,48151,48151
48152-48154,73,Ileostomy and other enterostomy,48152,48154
48155-48155,99,Other OR gastrointestinal therapeutic procedures,48155,48155
48160-48160,176,Other organ transplantation,48160,48160
48180-48180,99,Other OR gastrointestinal therapeutic procedures,48180,48180
48400-48400,97,Other gastrointestinal diagnostic procedures,48400,48400
48500-48550,99,Other OR gastrointestinal therapeutic procedures,48500,48550
48551-48554,176,Other organ transplantation,48551,48554
48556-48999,99,Other OR gastrointestinal therapeutic procedures,48556,48999
49000-49010,89,Exploratory laparotomy,49000,49010
49020-49061,99,Other OR gastrointestinal therapeutic procedures,49020,49061
49062-49062,67,"Other therapeutic procedures, hemic and lymphatic system",49062,49062
49080-49084,88,Abdominal paracentesis,49080,49084
49085-49085,99,Other OR gastrointestinal therapeutic procedures,49085,49085
49180-49180,97,Other gastrointestinal diagnostic procedures,49180,49180
49185-49215,99,Other OR gastrointestinal therapeutic procedures,49185,49215
49220-49220,89,Exploratory laparotomy,49220,49220
49250-49255,99,Other OR gastrointestinal therapeutic procedures,49250,49255
49300-49303,87,Laparoscopy,49300,49303
49310-49311,84,Cholecystectomy and common duct exploration,49310,49311
49315-49315,80,Appendectomy,49315,49315
49320-49322,87,Laparoscopy,49320,49322
49323-49323,67,"Other therapeutic procedures, hemic and lymphatic system",49323,49323
49324-49329,87,Laparoscopy,49324,49329
49400-49401,97,Other gastrointestinal diagnostic procedures,49400,49401
49402-49407,99,Other OR gastrointestinal therapeutic procedures,49402,49407
49411-49411,98,Other non-OR gastrointestinal therapeutic procedures,49411,49411
49412-49423,99,Other OR gastrointestinal therapeutic procedures,49412,49423
49424-49424,97,Other gastrointestinal diagnostic procedures,49424,49424
49425-49426,99,Other OR gastrointestinal therapeutic procedures,49425,49426
49427-49427,97,Other gastrointestinal diagnostic procedures,49427,49427
49428-49436,99,Other OR gastrointestinal therapeutic procedures,49428,49436
49440-49440,71,"Gastrostomy, temporary and permanent",49440,49440
49441-49446,73,Ileostomy and other enterostomy,49441,49446
49450-49450,71,"Gastrostomy, temporary and permanent",49450,49450
49451-49451,73,Ileostomy and other enterostomy,49451,49451
49452-49452,71,"Gastrostomy, temporary and permanent",49452,49452
49460-49460,99,Other OR gastrointestinal therapeutic procedures,49460,49460
49465-49465,226,Other diagnostic radiology and related techniques,49465,49465
49491-49535,85,Inguinal and femoral hernia repair,49491,49535
49540-49540,86,Other hernia repair,49540,49540
49550-49557,85,Inguinal and femoral hernia repair,49550,49557
49560-49611,86,Other hernia repair,49560,49611
49650-49651,85,Inguinal and femoral hernia repair,49650,49651
49652-49659,86,Other hernia repair,49652,49659
49900-49999,99,Other OR gastrointestinal therapeutic procedures,49900,49999
50010-50081,103,Nephrotomy and nephrostomy,50010,50081
50100-50100,61,Other OR procedures on vessels other than head and neck,50100,50100
50120-50135,103,Nephrotomy and nephrostomy,50120,50135
50200-50205,110,Other diagnostic procedures of urinary tract,50200,50205
50220-50240,104,"Nephrectomy, partial or complete",50220,50240
50250-50290,112,Other OR therapeutic procedures of urinary tract,50250,50290
50300-50340,104,"Nephrectomy, partial or complete",50300,50340
50360-50365,105,Kidney transplant,50360,50365
50370-50370,104,"Nephrectomy, partial or complete",50370,50370
50380-50380,105,Kidney transplant,50380,50380
50382-50390,111,Other non-OR therapeutic procedures of urinary tract,50382,50390
50391-50392,112,Other OR therapeutic procedures of urinary tract,50391,50392
50393-50393,102,Ureteral catheterization,50393,50393
50394-50394,226,Other diagnostic radiology and related techniques,50394,50394
50395-50395,103,Nephrotomy and nephrostomy,50395,50395
50396-50396,200,Nonoperative urinary system measurements,50396,50396
50398-50398,111,Other non-OR therapeutic procedures of urinary tract,50398,50398
50400-50405,112,Other OR therapeutic procedures of urinary tract,50400,50405
50430-50431,226,Other diagnostic radiology and related techniques,50430,50431
50432-50437,103,Nephrotomy and nephrostomy,50432,50437
50500-50542,112,Other OR therapeutic procedures of urinary tract,50500,50542
50543-50543,104,"Nephrectomy, partial or complete",50543,50543
50544-50544,112,Other OR therapeutic procedures of urinary tract,50544,50544
50545-50548,104,"Nephrectomy, partial or complete",50545,50548
50549-50549,110,Other diagnostic procedures of urinary tract,50549,50549
50551-50555,100,Endoscopy and endoscopic biopsy of the urinary tract,50551,50555
50557-50559,112,Other OR therapeutic procedures of urinary tract,50557,50559
50561-50561,101,"Transurethral excision, drainage, or removal urinary obstruction",50561,50561
50562-50562,112,Other OR therapeutic procedures of urinary tract,50562,50562
50570-50570,100,Endoscopy and endoscopic biopsy of the urinary tract,50570,50570
50572-50572,102,Ureteral catheterization,50572,50572
50574-50574,100,Endoscopy and endoscopic biopsy of the urinary tract,50574,50574
50575-50578,112,Other OR therapeutic procedures of urinary tract,50575,50578
50580-50580,101,"Transurethral excision, drainage, or removal urinary obstruction",50580,50580
50590-50590,107,"Extracorporeal lithotripsy, urinary",50590,50590
50592-50592,111,Other non-OR therapeutic procedures of urinary tract,50592,50592
50593-50600,112,Other OR therapeutic procedures of urinary tract,50593,50600
50605-50605,102,Ureteral catheterization,50605,50605
50606-50606,111,Other non-OR therapeutic procedures of urinary tract,50606,50606
50610-50660,112,Other OR therapeutic procedures of urinary tract,50610,50660
50684-50686,200,Nonoperative urinary system measurements,50684,50686
50688-50688,111,Other non-OR therapeutic procedures of urinary tract,50688,50688
50690-50690,200,Nonoperative urinary system measurements,50690,50690
50693-50695,102,Ureteral catheterization,50693,50695
50700-50700,112,Other OR therapeutic procedures of urinary tract,50700,50700
50705-50706,111,Other non-OR therapeutic procedures of urinary tract,50705,50706
50715-50945,112,Other OR therapeutic procedures of urinary tract,50715,50945
50947-50948,102,Ureteral catheterization,50947,50948
50949-50949,111,Other non-OR therapeutic procedures of urinary tract,50949,50949
50951-50951,100,Endoscopy and endoscopic biopsy of the urinary tract,50951,50951
50953-50953,102,Ureteral catheterization,50953,50953
50955-50955,100,Endoscopy and endoscopic biopsy of the urinary tract,50955,50955
50957-50957,101,"Transurethral excision, drainage, or removal urinary obstruction",50957,50957
50959-50959,211,Therapeutic radiology,50959,50959
50961-50961,101,"Transurethral excision, drainage, or removal urinary obstruction",50961,50961
50970-50970,100,Endoscopy and endoscopic biopsy of the urinary tract,50970,50970
50972-50972,102,Ureteral catheterization,50972,50972
50974-50974,100,Endoscopy and endoscopic biopsy of the urinary tract,50974,50974
50976-50976,101,"Transurethral excision, drainage, or removal urinary obstruction",50976,50976
50978-50978,211,Therapeutic radiology,50978,50978
50980-50980,101,"Transurethral excision, drainage, or removal urinary obstruction",50980,50980
51000-51000,111,Other non-OR therapeutic procedures of urinary tract,51000,51000
51005-51080,112,Other OR therapeutic procedures of urinary tract,51005,51080
51100-51100,111,Other non-OR therapeutic procedures of urinary tract,51100,51100
51101-51597,112,Other OR therapeutic procedures of urinary tract,51101,51597
51600-51610,200,Nonoperative urinary system measurements,51600,51610
51700-51700,111,Other non-OR therapeutic procedures of urinary tract,51700,51700
51701-51703,108,Indwelling catheter,51701,51703
51705-51710,111,Other non-OR therapeutic procedures of urinary tract,51705,51710
51715-51715,106,Genitourinary incontinence procedures,51715,51715
51720-51720,224,Cancer chemotherapy,51720,51720
51725-51798,200,Nonoperative urinary system measurements,51725,51798
51800-51820,112,Other OR therapeutic procedures of urinary tract,51800,51820
51840-51845,106,Genitourinary incontinence procedures,51840,51845
51860-51920,112,Other OR therapeutic procedures of urinary tract,51860,51920
51925-51925,124,"Hysterectomy, abdominal and vaginal",51925,51925
51940-51980,112,Other OR therapeutic procedures of urinary tract,51940,51980
51990-51992,106,Genitourinary incontinence procedures,51990,51992
51999-51999,110,Other diagnostic procedures of urinary tract,51999,51999
52000-52000,100,Endoscopy and endoscopic biopsy of the urinary tract,52000,52000
52001-52001,101,"Transurethral excision, drainage, or removal urinary obstruction",52001,52001
52005-52005,102,Ureteral catheterization,52005,52005
52007-52204,100,Endoscopy and endoscopic biopsy of the urinary tract,52007,52204
52214-52240,101,"Transurethral excision, drainage, or removal urinary obstruction",52214,52240
52250-52260,112,Other OR therapeutic procedures of urinary tract,52250,52260
52265-52265,111,Other non-OR therapeutic procedures of urinary tract,52265,52265
52270-52275,109,Procedures on the urethra,52270,52275
52276-52276,100,Endoscopy and endoscopic biopsy of the urinary tract,52276,52276
52277-52285,109,Procedures on the urethra,52277,52285
52287-52287,112,Other OR therapeutic procedures of urinary tract,52287,52287
52290-52290,109,Procedures on the urethra,52290,52290
52300-52315,101,"Transurethral excision, drainage, or removal urinary obstruction",52300,52315
52317-52318,112,Other OR therapeutic procedures of urinary tract,52317,52318
52320-52325,101,"Transurethral excision, drainage, or removal urinary obstruction",52320,52325
52327-52327,112,Other OR therapeutic procedures of urinary tract,52327,52327
52330-52330,101,"Transurethral excision, drainage, or removal urinary obstruction",52330,52330
52332-52332,102,Ureteral catheterization,52332,52332
52334-52334,103,Nephrotomy and nephrostomy,52334,52334
52335-52335,100,Endoscopy and endoscopic biopsy of the urinary tract,52335,52335
52336-52336,101,"Transurethral excision, drainage, or removal urinary obstruction",52336,52336
52337-52337,107,"Extracorporeal lithotripsy, urinary",52337,52337
52338-52338,100,Endoscopy and endoscopic biopsy of the urinary tract,52338,52338
52339-52339,112,Other OR therapeutic procedures of urinary tract,52339,52339
52340-52340,100,Endoscopy and endoscopic biopsy of the urinary tract,52340,52340
52341-52346,101,"Transurethral excision, drainage, or removal urinary obstruction",52341,52346
52347-52347,118,"Other OR therapeutic procedures, male genital",52347,52347
52351-52351,100,Endoscopy and endoscopic biopsy of the urinary tract,52351,52351
52352-52352,101,"Transurethral excision, drainage, or removal urinary obstruction",52352,52352
52353-52353,107,"Extracorporeal lithotripsy, urinary",52353,52353
52354-52354,100,Endoscopy and endoscopic biopsy of the urinary tract,52354,52354
52355-52355,112,Other OR therapeutic procedures of urinary tract,52355,52355
52356-52356,107,"Extracorporeal lithotripsy, urinary",52356,52356
52400-52400,109,Procedures on the urethra,52400,52400
52402-52402,118,"Other OR therapeutic procedures, male genital",52402,52402
52441-52442,109,Procedures on the urethra,52441,52442
52450-52450,118,"Other OR therapeutic procedures, male genital",52450,52450
52500-52500,101,"Transurethral excision, drainage, or removal urinary obstruction",52500,52500
52510-52510,118,"Other OR therapeutic procedures, male genital",52510,52510
52601-52601,113,Transurethral resection of prostate (TURP),52601,52601
52606-52606,118,"Other OR therapeutic procedures, male genital",52606,52606
52612-52630,113,Transurethral resection of prostate (TURP),52612,52630
52640-52640,101,"Transurethral excision, drainage, or removal urinary obstruction",52640,52640
52647-52649,118,"Other OR therapeutic procedures, male genital",52647,52649
52650-52650,113,Transurethral resection of prostate (TURP),52650,52650
52700-52700,118,"Other OR therapeutic procedures, male genital",52700,52700
53000-53060,109,Procedures on the urethra,53000,53060
53080-53085,112,Other OR therapeutic procedures of urinary tract,53080,53085
53200-53200,100,Endoscopy and endoscopic biopsy of the urinary tract,53200,53200
53210-53431,109,Procedures on the urethra,53210,53431
53440-53443,106,Genitourinary incontinence procedures,53440,53443
53444-53444,109,Procedures on the urethra,53444,53444
53445-53445,106,Genitourinary incontinence procedures,53445,53445
53446-53446,109,Procedures on the urethra,53446,53446
53447-53449,106,Genitourinary incontinence procedures,53447,53449
53450-53665,109,Procedures on the urethra,53450,53665
53670-53675,108,Indwelling catheter,53670,53675
53800-53800,200,Nonoperative urinary system measurements,53800,53800
53850-53854,113,Transurethral resection of prostate (TURP),53850,53854
53855-53860,109,Procedures on the urethra,53855,53860
53899-53899,112,Other OR therapeutic procedures of urinary tract,53899,53899
54000-54001,117,"Other non-OR therapeutic procedures, male genital",54000,54001
54015-54015,118,"Other OR therapeutic procedures, male genital",54015,54015
54050-54057,117,"Other non-OR therapeutic procedures, male genital",54050,54057
54060-54065,118,"Other OR therapeutic procedures, male genital",54060,54065
54100-54105,116,"Diagnostic procedures, male genital",54100,54105
54110-54135,118,"Other OR therapeutic procedures, male genital",54110,54135
54150-54161,115,Circumcision,54150,54161
54162-54162,118,"Other OR therapeutic procedures, male genital",54162,54162
54163-54163,115,Circumcision,54163,54163
54164-54164,118,"Other OR therapeutic procedures, male genital",54164,54164
54200-54200,117,"Other non-OR therapeutic procedures, male genital",54200,54200
54205-54220,118,"Other OR therapeutic procedures, male genital",54205,54220
54230-54230,226,Other diagnostic radiology and related techniques,54230,54230
54231-54250,116,"Diagnostic procedures, male genital",54231,54250
54300-54304,118,"Other OR therapeutic procedures, male genital",54300,54304
54308-54318,109,Procedures on the urethra,54308,54318
54322-54440,118,"Other OR therapeutic procedures, male genital",54322,54440
54450-54450,117,"Other non-OR therapeutic procedures, male genital",54450,54450
54500-54505,116,"Diagnostic procedures, male genital",54500,54505
54510-54692,118,"Other OR therapeutic procedures, male genital",54510,54692
54699-54699,116,"Diagnostic procedures, male genital",54699,54699
54700-54700,118,"Other OR therapeutic procedures, male genital",54700,54700
54800-54820,116,"Diagnostic procedures, male genital",54800,54820
54830-54861,118,"Other OR therapeutic procedures, male genital",54830,54861
54865-54865,116,"Diagnostic procedures, male genital",54865,54865
54900-54901,118,"Other OR therapeutic procedures, male genital",54900,54901
55000-55000,117,"Other non-OR therapeutic procedures, male genital",55000,55000
55040-55060,118,"Other OR therapeutic procedures, male genital",55040,55060
55100-55100,117,"Other non-OR therapeutic procedures, male genital",55100,55100
55110-55110,116,"Diagnostic procedures, male genital",55110,55110
55120-55120,117,"Other non-OR therapeutic procedures, male genital",55120,55120
55150-55180,118,"Other OR therapeutic procedures, male genital",55150,55180
55200-55250,117,"Other non-OR therapeutic procedures, male genital",55200,55250
55300-55300,226,Other diagnostic radiology and related techniques,55300,55300
55400-55400,118,"Other OR therapeutic procedures, male genital",55400,55400
55450-55450,117,"Other non-OR therapeutic procedures, male genital",55450,55450
55500-55535,118,"Other OR therapeutic procedures, male genital",55500,55535
55540-55540,86,Other hernia repair,55540,55540
55550-55680,118,"Other OR therapeutic procedures, male genital",55550,55680
55700-55706,116,"Diagnostic procedures, male genital",55700,55706
55720-55740,118,"Other OR therapeutic procedures, male genital",55720,55740
55801-55845,114,Open prostatectomy,55801,55845
55859-55865,118,"Other OR therapeutic procedures, male genital",55859,55865
55866-55866,114,Open prostatectomy,55866,55866
55870-55870,117,"Other non-OR therapeutic procedures, male genital",55870,55870
55873-55873,114,Open prostatectomy,55873,55873
55874-55874,211,Therapeutic radiology,55874,55874
55875-55876,117,"Other non-OR therapeutic procedures, male genital",55875,55876
55899-55899,118,"Other OR therapeutic procedures, male genital",55899,55899
55920-55920,117,"Other non-OR therapeutic procedures, male genital",55920,55920
55970-55970,118,"Other OR therapeutic procedures, male genital",55970,55970
55980-56000,132,"Other OR therapeutic procedures, female organs",55980,56000
56100-56100,130,"Other diagnostic procedures, female organs",56100,56100
56200-56200,132,"Other OR therapeutic procedures, female organs",56200,56200
56300-56300,130,"Other diagnostic procedures, female organs",56300,56300
56301-56303,120,Other operations on ovary,56301,56303
56304-56304,90,"Excision, lysis peritoneal adhesions",56304,56304
56305-56305,130,"Other diagnostic procedures, female organs",56305,56305
56306-56306,132,"Other OR therapeutic procedures, female organs",56306,56306
56307-56307,119,"Oophorectomy, unilateral and bilateral",56307,56307
56308-56308,124,"Hysterectomy, abdominal and vaginal",56308,56308
56309-56309,132,"Other OR therapeutic procedures, female organs",56309,56309
56310-56310,90,"Excision, lysis peritoneal adhesions",56310,56310
56311-56311,130,"Other diagnostic procedures, female organs",56311,56311
56312-56314,67,"Other therapeutic procedures, hemic and lymphatic system",56312,56314
56315-56315,80,Appendectomy,56315,56315
56316-56317,85,Inguinal and femoral hernia repair,56316,56317
56318-56320,118,"Other OR therapeutic procedures, male genital",56318,56320
56321-56321,231,Other therapeutic procedures,56321,56321
56322-56323,9,Other OR therapeutic nervous system procedures,56322,56323
56324-56342,84,Cholecystectomy and common duct exploration,56324,56342
56343-56343,120,Other operations on ovary,56343,56343
56344-56344,123,Other operations on fallopian tubes,56344,56344
56345-56345,66,Procedures on spleen,56345,56345
56346-56346,71,"Gastrostomy, temporary and permanent",56346,56346
56347-56347,73,Ileostomy and other enterostomy,56347,56347
56348-56349,99,Other OR gastrointestinal therapeutic procedures,56348,56349
56350-56351,130,"Other diagnostic procedures, female organs",56350,56351
56352-56352,90,"Excision, lysis peritoneal adhesions",56352,56352
56353-56356,132,"Other OR therapeutic procedures, female organs",56353,56356
56360-56361,130,"Other diagnostic procedures, female organs",56360,56361
56362-56362,184,Intraoperative cholangiogram,56362,56362
56363-56363,97,Other gastrointestinal diagnostic procedures,56363,56363
56399-56399,87,Laparoscopy,56399,56399
56400-56515,132,"Other OR therapeutic procedures, female organs",56400,56515
56600-56606,130,"Other diagnostic procedures, female organs",56600,56606
56620-56700,132,"Other OR therapeutic procedures, female organs",56620,56700
56720-56720,131,"Other non-OR therapeutic procedures, female organs",56720,56720
56740-56810,132,"Other OR therapeutic procedures, female organs",56740,56810
56820-57000,130,"Other diagnostic procedures, female organs",56820,57000
57010-57010,132,"Other OR therapeutic procedures, female organs",57010,57010
57020-57020,131,"Other non-OR therapeutic procedures, female organs",57020,57020
57022-57022,141,Other therapeutic obstetrical procedures,57022,57022
57023-57023,132,"Other OR therapeutic procedures, female organs",57023,57023
57061-57061,131,"Other non-OR therapeutic procedures, female organs",57061,57061
57065-57065,132,"Other OR therapeutic procedures, female organs",57065,57065
57100-57105,130,"Other diagnostic procedures, female organs",57100,57105
57106-57112,132,"Other OR therapeutic procedures, female organs",57106,57112
57120-57120,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57120,57120
57130-57135,132,"Other OR therapeutic procedures, female organs",57130,57135
57150-57150,131,"Other non-OR therapeutic procedures, female organs",57150,57150
57155-57155,132,"Other OR therapeutic procedures, female organs",57155,57155
57156-57180,131,"Other non-OR therapeutic procedures, female organs",57156,57180
57200-57210,132,"Other OR therapeutic procedures, female organs",57200,57210
57220-57220,106,Genitourinary incontinence procedures,57220,57220
57230-57270,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57230,57270
57280-57283,132,"Other OR therapeutic procedures, female organs",57280,57283
57284-57285,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57284,57285
57287-57288,106,Genitourinary incontinence procedures,57287,57288
57289-57289,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57289,57289
57291-57305,132,"Other OR therapeutic procedures, female organs",57291,57305
57307-57307,72,"Colostomy, temporary and permanent",57307,57307
57308-57308,132,"Other OR therapeutic procedures, female organs",57308,57308
57310-57311,109,Procedures on the urethra,57310,57311
57320-57330,112,Other OR therapeutic procedures of urinary tract,57320,57330
57335-57335,132,"Other OR therapeutic procedures, female organs",57335,57335
57400-57400,131,"Other non-OR therapeutic procedures, female organs",57400,57400
57410-57410,130,"Other diagnostic procedures, female organs",57410,57410
57415-57415,229,Nonoperative removal of foreign body,57415,57415
57420-57421,130,"Other diagnostic procedures, female organs",57420,57421
57423-57423,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57423,57423
57425-57426,132,"Other OR therapeutic procedures, female organs",57425,57426
57450-57450,130,"Other diagnostic procedures, female organs",57450,57450
57451-57451,132,"Other OR therapeutic procedures, female organs",57451,57451
57452-57460,130,"Other diagnostic procedures, female organs",57452,57460
57461-57461,125,Other excision of cervix and uterus,57461,57461
57500-57500,130,"Other diagnostic procedures, female organs",57500,57500
57505-57505,132,"Other OR therapeutic procedures, female organs",57505,57505
57510-57550,125,Other excision of cervix and uterus,57510,57550
57555-57556,129,"Repair of cystocele and rectocele, obliteration of vaginal vault",57555,57556
57558-57558,125,Other excision of cervix and uterus,57558,57558
57700-57720,132,"Other OR therapeutic procedures, female organs",57700,57720
57800-57800,131,"Other non-OR therapeutic procedures, female organs",57800,57800
57820-57820,128,Diagnostic dilatation and curettage (D&C),57820,57820
58100-58100,130,"Other diagnostic procedures, female organs",58100,58100
58102-58102,128,Diagnostic dilatation and curettage (D&C),58102,58102
58110-58110,130,"Other diagnostic procedures, female organs",58110,58110
58120-58120,128,Diagnostic dilatation and curettage (D&C),58120,58120
58140-58146,125,Other excision of cervix and uterus,58140,58146
58150-58294,124,"Hysterectomy, abdominal and vaginal",58150,58294
58300-58323,131,"Other non-OR therapeutic procedures, female organs",58300,58323
58340-58340,130,"Other diagnostic procedures, female organs",58340,58340
58345-58345,123,Other operations on fallopian tubes,58345,58345
58346-58346,132,"Other OR therapeutic procedures, female organs",58346,58346
58350-58350,123,Other operations on fallopian tubes,58350,58350
58353-58356,125,Other excision of cervix and uterus,58353,58356
58400-58540,132,"Other OR therapeutic procedures, female organs",58400,58540
58541-58544,124,"Hysterectomy, abdominal and vaginal",58541,58544
58545-58546,125,Other excision of cervix and uterus,58545,58546
58548-58550,124,"Hysterectomy, abdominal and vaginal",58548,58550
58551-58551,125,Other excision of cervix and uterus,58551,58551
58552-58554,124,"Hysterectomy, abdominal and vaginal",58552,58554
58555-58558,130,"Other diagnostic procedures, female organs",58555,58558
58559-58561,125,Other excision of cervix and uterus,58559,58561
58562-58562,229,Nonoperative removal of foreign body,58562,58562
58563-58563,125,Other excision of cervix and uterus,58563,58563
58565-58565,123,Other operations on fallopian tubes,58565,58565
58570-58575,124,"Hysterectomy, abdominal and vaginal",58570,58575
58578-58579,130,"Other diagnostic procedures, female organs",58578,58579
58600-58615,121,Ligation of fallopian tubes,58600,58615
58660-58660,132,"Other OR therapeutic procedures, female organs",58660,58660
58661-58661,119,"Oophorectomy, unilateral and bilateral",58661,58661
58662-58662,132,"Other OR therapeutic procedures, female organs",58662,58662
58670-58671,121,Ligation of fallopian tubes,58670,58671
58672-58672,123,Other operations on fallopian tubes,58672,58672
58673-58674,132,"Other OR therapeutic procedures, female organs",58673,58674
58679-58679,130,"Other diagnostic procedures, female organs",58679,58679
58700-58700,123,Other operations on fallopian tubes,58700,58700
58720-58720,119,"Oophorectomy, unilateral and bilateral",58720,58720
58740-58740,120,Other operations on ovary,58740,58740
58750-58770,123,Other operations on fallopian tubes,58750,58770
58800-58822,120,Other operations on ovary,58800,58822
58823-58823,132,"Other OR therapeutic procedures, female organs",58823,58823
58825-58825,120,Other operations on ovary,58825,58825
58900-58900,130,"Other diagnostic procedures, female organs",58900,58900
58920-58925,120,Other operations on ovary,58920,58925
58940-58950,119,"Oophorectomy, unilateral and bilateral",58940,58950
58951-58951,124,"Hysterectomy, abdominal and vaginal",58951,58951
58952-58952,119,"Oophorectomy, unilateral and bilateral",58952,58952
58953-58956,124,"Hysterectomy, abdominal and vaginal",58953,58956
58957-58958,132,"Other OR therapeutic procedures, female organs",58957,58958
58960-58960,130,"Other diagnostic procedures, female organs",58960,58960
58970-58970,120,Other operations on ovary,58970,58970
58972-58972,206,"Microscopic examination (bacterial smear, culture, toxicology)",58972,58972
58974-58976,132,"Other OR therapeutic procedures, female organs",58974,58976
58980-58980,130,"Other diagnostic procedures, female organs",58980,58980
58982-58985,120,Other operations on ovary,58982,58985
58986-58986,130,"Other diagnostic procedures, female organs",58986,58986
58987-58987,132,"Other OR therapeutic procedures, female organs",58987,58987
58988-58988,119,"Oophorectomy, unilateral and bilateral",58988,58988
58990-58990,130,"Other diagnostic procedures, female organs",58990,58990
58992-58992,132,"Other OR therapeutic procedures, female organs",58992,58992
58994-58996,125,Other excision of cervix and uterus,58994,58996
58999-58999,132,"Other OR therapeutic procedures, female organs",58999,58999
59000-59000,138,Diagnostic amniocentesis,59000,59000
59001-59001,141,Other therapeutic obstetrical procedures,59001,59001
59012-59051,139,Fetal monitoring,59012,59051
59070-59076,141,Other therapeutic obstetrical procedures,59070,59076
59100-59100,132,"Other OR therapeutic procedures, female organs",59100,59100
59120-59151,122,Removal of ectopic pregnancy,59120,59151
59160-59160,127,"Dilatation and curettage (D&C), aspiration after delivery or abortion",59160,59160
59200-59200,141,Other therapeutic obstetrical procedures,59200,59200
59300-59300,140,Repair of current obstetric laceration,59300,59300
59320-59325,141,Other therapeutic obstetrical procedures,59320,59325
59350-59350,140,Repair of current obstetric laceration,59350,59350
59400-59410,135,"Forceps, vacuum, and breech delivery",59400,59410
59412-59414,137,Other procedures to assist delivery,59412,59414
59420-59430,227,"Other diagnostic procedures (interview, evaluation, consultation)",59420,59430
59510-59515,134,Cesarean section,59510,59515
59525-59525,124,"Hysterectomy, abdominal and vaginal",59525,59525
59610-59614,135,"Forceps, vacuum, and breech delivery",59610,59614
59618-59622,134,Cesarean section,59618,59622
59812-59830,127,"Dilatation and curettage (D&C), aspiration after delivery or abortion",59812,59830
59840-59857,126,Abortion (termination of pregnancy),59840,59857
59866-59866,141,Other therapeutic obstetrical procedures,59866,59866
59870-59870,132,"Other OR therapeutic procedures, female organs",59870,59870
59871-59871,131,"Other non-OR therapeutic procedures, female organs",59871,59871
59897-59898,141,Other therapeutic obstetrical procedures,59897,59898
59899-59899,137,Other procedures to assist delivery,59899,59899
60000-60001,12,Other therapeutic endocrine procedures,60000,60001
60100-60100,11,Diagnostic endocrine procedures,60100,60100
60200-60200,12,Other therapeutic endocrine procedures,60200,60200
60210-60271,10,"Thyroidectomy, partial or complete",60210,60271
60280-60545,12,Other therapeutic endocrine procedures,60280,60545
60600-60605,59,Other OR procedures on vessels of head and neck,60600,60605
60650-60699,12,Other therapeutic endocrine procedures,60650,60699
61000-61055,1,Incision and excision of CNS,61000,61055
61070-61070,8,Other non-OR or closed therapeutic nervous system procedures,61070,61070
